compound_id,target_CHRM1_standard_value,target_CHRM2_standard_value,target_CHRM3_standard_value,target_CHRM4_standard_value,target_CHRM5_standard_value,target_DRD2_standard_value,target_HRH1_standard_value,target_HTR2A_standard_value,target_KCNH2_standard_value,target_OPRM1_standard_value,base_rdkit_smiles
CCCCCCCOc1ccc(NC(=O)Oc2cccc(N3CCNCC3)c2)cc1,5.59,5.48,5.73,,,,5.45,6.6,,6.52,CCCCCCCOc1ccc(NC(=O)Oc2cccc(N3CCNCC3)c2)cc1
O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1,5.717038585333952,6.0,6.0,6.0,6.0,8.728859583205452,7.160766969754247,9.274156457546724,5.84,,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1cc2ccccc2s1
COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.211220542952943,,5.0,COc1ccc(NC(=O)N2CCN(c3ccc(C(F)(F)F)cc3)CC2)cc1N1CCN(C)CC1
CN(CC1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.41341,,,,,,8.36,,,,CN(CC1CCCCC1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
C[C@H](C1=C(CCN(C)Cc2ncc[nH]2)Cc2ccccc21)c1cnccn1,8.0,,,,,,8.058505775949946,,,,C[C@H](C1=C(CCN(C)Cc2ncc[nH]2)Cc2ccccc21)c1cnccn1
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,8.571691761072863,7.060789638643503,7.564397166598997,7.910008791924795,7.783514398670371,7.379980668779571,8.862185577440595,8.379235331342793,5.640298495100255,,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
CN1CCc2c(c3cccc4c3n2-c2ccccc2CC4)C1,5.383363120472002,5.026714679641652,5.422349519883187,5.0451283873048185,5.2896005322933135,6.0797192489253975,7.3005131555569776,7.619959751720092,,5.050898691329959,CN1CCc2c(c3cccc4c3n2-c2ccccc2CC4)C1
CN(C)CCOC(c1ccccc1)c1ccccc1,7.0408578340197945,6.6683853839840985,6.967425464903719,7.218970004336017,6.84132471426896,,7.76147908453904,6.6111116032461545,4.917779287224833,,CN(C)CCOC(c1ccccc1)c1ccccc1
CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,5.2,,,,,,9.455818065744618,,7.0,,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,6.101530142790452,5.898892112099434,6.0996741714434,5.537602002101044,5.936531069695723,5.0,5.613106777509403,7.048259973497295,,,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
Fc1ccc(Cn2c(C3CCCN(Cc4ncco4)C3)nc3ccccc32)cc1,5.0,,,,,,8.020707280910933,,5.522878745280337,,Fc1ccc(Cn2c(C3CCCN(Cc4ncco4)C3)nc3ccccc32)cc1
Cc1nccnc1CC1=C(CCN(C)C)Cc2ccccc21,5.0,,,,,,7.200219816848805,,5.522878745280337,,Cc1nccnc1CC1=C(CCN(C)C)Cc2ccccc21
CN(C)CCCN1c2ccccc2CCc2ccccc21,7.3767507096020974,,7.221848749616356,6.950781977329817,7.080921907623925,6.260427444080357,7.591919573319268,6.949169334110544,5.47,,CN(C)CCCN1c2ccccc2CCc2ccccc21
CN[C@@H](C(=O)N(C)[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]24CN(C)[C@@H](C)[C@H]2CC[C@@H]34)C1)C(C)C,7.959535771613925,,,,,,5.0,,,,CN[C@@H](C(=O)N(C)[C@H]1CC[C@@]2(C)C(=CC[C@@H]3[C@@H]2CC[C@]24CN(C)[C@@H](C)[C@H]2CC[C@@H]34)C1)C(C)C
Cc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1,5.0,,,,,,8.3789169032007,,5.674143274634023,,Cc1ccc2c(c1)CC(CCN(C)C)=C2[C@@H](C)c1cnccn1
C[C@@H](c1cncs1)c1c(CCN(C)C)sc2ccccc12,2.0,,,,,,8.281332218788402,,5.301029995663981,,C[C@@H](c1cncs1)c1c(CCN(C)C)sc2ccccc12
CN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1,7.872604090003453,,,,,,8.399313336224012,9.22061624987212,5.4203862401002825,,CN(C)CCC1=C(Cc2cnccn2)c2ccccc2C1
COc1nccnc1CC1=C(CCN(C)C)Cc2ccccc21,4.801259265661144,,,,,,8.659192439725931,,5.33931270241168,,COc1nccnc1CC1=C(CCN(C)C)Cc2ccccc21
CN(Cc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,5.448665226329365,,,,,,8.441232499744238,,,,CN(Cc1ccccc1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1
CC1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1,6.03,6.17,6.29,6.38,6.47,,5.15,5.87,,,CC1CCCN1CCc1cc2cc(C(=O)c3ccc([N+](=O)[O-])cc3)ccc2o1
COc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1,5.0,,,,,,8.050203331118363,,5.688378176262531,,COc1ccc2c(c1)CC(CCN(C)C)=C2Cc1cnccn1
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,7.1912733420053705,7.420072134461062,7.0207587982370505,7.329300714021428,6.679260235088693,,8.987538379417806,8.024856063830244,,,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1
C[C@@H](c1ccccn1)c1c(CCN2CCC2)sc2ccccc12,5.0,,,,,,8.409645130991168,,9.138892379959849,,C[C@@H](c1ccccn1)c1c(CCN2CCC2)sc2ccccc12
COc1ccc(NC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.351027468572492,,5.0,COc1ccc(NC(=O)N2CCN(c3ccc(F)cc3)CC2)cc1N1CCN(C)CC1
Cc1csc([C@H](C)C2=C(CCN(C)C)Cc3ccccc32)n1,5.441848749616356,,,,,,8.509319153082862,,5.522878745280337,,Cc1csc([C@H](C)C2=C(CCN(C)C)Cc3ccccc32)n1
COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.998846489296831,,5.0,COc1ccc(NC(=O)N2CCN(c3ccc(Cl)cc3)CC2)cc1N1CCN(C)CC1
N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,N#Cc1cc(F)cc(C#Cc2csc(CF)n2)c1
CCCN1CCO[C@H](c2cccc(O)c2)C1,6.0,,,,,,5.698970004336019,,5.3979400086720375,,CCCN1CCO[C@H](c2cccc(O)c2)C1
CC1=NC2=CCCCN2C(=O)C1CCN1CCC(c2noc3cc(F)ccc23)CC1,6.0,6.0,6.0,6.0,6.0,9.36,8.59,10.0,6.83,,CC1=NC2=CCCCN2C(=O)C1CCN1CCC(c2noc3cc(F)ccc23)CC1
NC(CS(=O)(=O)O)C(=O)O,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,NC(CS(=O)(=O)O)C(=O)O
CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,5.0,5.0,5.0,5.0,5.0,5.638272163982407,5.508638306165726,,,,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC
Cc1cc(OCCN(C)C)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12,8.77,8.35,,,,,8.46,9.21,,,Cc1cc(OCCN(C)C)nc2ccc(NC(=O)COc3ccc(Cl)cc3Cl)cc12
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,6.0,5.761439372640169,,,,5.0,5.638272163982407,6.297569463554474,,,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,5.0,5.309894379144197,5.0,5.356547323513811,5.0,7.0981794536752725,6.236572006437062,7.072662695380376,,,CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1
CN(C)C(=O)CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1,5.0,,,,,,8.177455856280433,,5.604167942901733,,CN(C)C(=O)CN1CCCC(c2nc3ccccc3n2Cc2ccc(F)cc2)C1
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
