compound_id,target_DRD2_standard_value,target_CHRM2_standard_value,target_HTR2A_standard_value,target_OPRM1_standard_value
Cc1nc2cc3c(cc2o1)CCN(CCCCSc1nnc(-c2ocnc2C)n1C)CC3,6.241672215099273,,,
O=C1NCN(c2ccccc2)C12CCN(CCCCc1c[nH]c3ccccc13)CC2,7.655,,6.01,
CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,5.0,5.761439372640169,6.297569463554474,
CC1CCN(CCCC(=O)c2ccc(F)cc2)CC1,7.0981794536752725,5.309894379144197,7.072662695380376,
Fc1ccc2c(c1)CC(CC1CN=CN1)C2,6.0,,6.0,
CN(C)C[C@H]1C[C@@H]2c3ccccc3Sc3ccc(F)cc3[C@H]2O1,7.920546251317457,,8.798626672448027,
N#Cc1ccc2c(c1)CCN(CC[C@H]1CC[C@H](NC(=O)c3ccnc4ccccc34)CC1)C2,6.2992307692307685,,,
Cc1ncoc1-c1nnc(SCCCN2CCc3cc4c(cc3CC2)OCC(=O)N4)n1C,5.041672831162827,,,
Clc1ccc2sc(CCCCN3CCc4ccccc4C3)nc2c1,6.86,,6.1750000000000025,
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,5.0,5.0,5.0,
COc1ccccc1N1CCN(Cc2cc(CN3CCCCC3)c3cccccc2-3)CC1,7.384638016639178,,,
C[C@@H]1CCCN1CCN1CCc2cc(-c3ccc(C(=O)N4CCCC4)cc3)ccc2C1=O,5.0,,,
CN(CCCN1c2ccccc2CCc2ccccc21)CC(=O)c1ccc(Cl)cc1,5.436447600817597,6.827705628710644,5.920818753952375,
Cc1nc2ccc3c(c2s1)CCN(CCCSc1nnc(-c2ocnc2C)n1C)CC3,6.0,,,
Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[N+](C)(O)CC1,6.92,,,
CCc1nc2cc3c(c(C)c2o1)CCN(CCSc1nnc(-c2cccc4nc(C)ccc24)n1C)CC3,6.041672833866111,,,
CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,7.916086983620374,7.521403307098348,8.640882123103232,
COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C(\C)c4ccccc4)CC3)[C@@H]1CO2,6.0,,6.0,
[NH3+]C(CCS)C(=O)[O-],5.0,5.0,5.0,5.0
Cc1ccc2c(-c3nnc(SCCCN4CCc5ccc6oc(C)nc6c5CC4)n3C)cccc2n1,6.27942077021855,,,
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,5.0,6.719848391477505,5.114820903078912,
N[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,5.0,5.663075011328528,,
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,5.390420026977072,5.2889205128181125,5.499054453792998,6.0890206557605335
c1ccc(Cc2ccccc2OCCN2CCCC2)cc1,5.0,,,
CN(C)CC/C=C1/c2ccccc2Sc2ccc(Cl)cc21,8.52956942964702,,,
CNCCCC12CCC(c3ccccc31)c1ccccc12,6.099162090979531,6.161436476169193,7.669526219799793,
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1,6.83,,6.79,6.04
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,5.0,,5.4172706576646,
